Time,X,Y,Z
11/26/2024 7:40,,,
11/26/2024 8:00,,,
11/26/2024 8:20,,,
11/26/2024 8:40,,,
11/26/2024 9:00,,,
11/26/2024 9:20,-6458613,139972,2273477
11/26/2024 9:40,-5869146,310697,3503059
11/26/2024 10:00,,,
11/26/2024 10:20,,,
11/26/2024 10:40,,,
11/26/2024 11:00,,,
11/26/2024 11:20,,,
11/26/2024 11:40,,,
11/26/2024 12:00,,,
11/26/2024 12:20,,,
11/26/2024 12:40,-6474061,119759,2229807
11/26/2024 13:00,2488659,871733,6312503
11/26/2024 13:20,,,
11/26/2024 13:40,,,
11/26/2024 14:00,,,
11/26/2024 14:20,,,
11/26/2024 14:40,4254754,794353,5311200
11/26/2024 15:00,,,
11/26/2024 15:20,,,
11/26/2024 15:40,,,
11/26/2024 16:00,,,
11/26/2024 16:20,,,
11/26/2024 16:40,,,
11/26/2024 17:00,,,
11/26/2024 17:20,,,
11/26/2024 17:40,,,
11/26/2024 18:00,,,
11/26/2024 18:20,,,
11/26/2024 18:40,,,
11/26/2024 19:00,,,
11/26/2024 19:20,,,
11/26/2024 19:40,,,
11/26/2024 20:00,,,
11/26/2024 20:20,,,
11/26/2024 20:40,,,
11/26/2024 21:00,6536172,472731,2084204
11/26/2024 21:20,,,
11/26/2024 21:40,,,
11/26/2024 22:00,,,
11/26/2024 22:20,,,
11/26/2024 22:40,6274970,556348,2746568
11/26/2024 23:00,,,
11/26/2024 23:20,,,
11/26/2024 23:40,-3598415,636426,5772656
11/27/2024 0:00,-3598415,636426,5772656
11/27/2024 0:20,,,
11/27/2024 0:40,,,
11/27/2024 1:00,,,
11/27/2024 1:20,-4210294,539640,5355090
11/27/2024 1:40,,,
11/27/2024 2:00,,,
11/27/2024 2:20,,,
11/27/2024 2:40,,,
11/27/2024 3:00,,,
11/27/2024 3:20,,,
11/27/2024 3:40,,,
11/27/2024 4:00,,,
11/27/2024 4:20,,,
11/27/2024 4:40,,,
11/27/2024 5:00,,,
